epoch,teacher_mse,w2s_mse,direct_mse,shuffled_control_mse,student_teacher_fit_mse,PGR_using_best_direct_ceiling,projection_k80
1,327.44317626953125,94.63887786865234,55.14474105834961,383.13916015625,252.43035888671875,0.8205811637271749,17
2,327.44317626953125,90.92108154296875,50.92571258544922,378.5279235839844,245.4734649658203,0.8336855336051606,29
3,327.44317626953125,96.40339660644531,48.9230842590332,381.94219970703125,242.65689086914062,0.8143616443745585,55
4,327.44317626953125,94.88153076171875,47.58293151855469,390.54486083984375,241.21218872070312,0.8197258685511756,70
5,327.44317626953125,96.5229263305664,46.76490783691406,373.6863708496094,240.31175231933594,0.8139403298163952,84
6,327.44317626953125,94.31452941894531,46.365360260009766,379.5154113769531,239.45643615722656,0.8217244167948455,104
7,327.44317626953125,97.79463195800781,46.022464752197266,389.008056640625,236.92225646972656,0.8094578623926738,128
8,327.44317626953125,106.14839172363281,45.75278854370117,380.9357604980469,242.9974365234375,0.7800127964851281,141
9,327.44317626953125,99.10096740722656,45.15744400024414,377.6213073730469,235.80799865722656,0.8048533328779648,151
10,327.44317626953125,100.05440521240234,44.98874282836914,394.87158203125,235.07089233398438,0.8014926857203019,162
11,327.44317626953125,98.2970962524414,44.7650146484375,356.1371154785156,234.68113708496094,0.8076867922780332,187
12,327.44317626953125,97.38335418701172,44.52354049682617,386.2880859375,233.8802490234375,0.8109075211586728,206
13,327.44317626953125,99.95479583740234,44.52971267700195,387.6700744628906,233.58029174804688,0.8018437856674122,222
14,327.44317626953125,100.98103332519531,44.33456802368164,390.78619384765625,233.005126953125,0.7982265365110263,239
15,327.44317626953125,101.26419830322266,44.98255157470703,378.7165222167969,232.49365234375,0.7972284456304346,260
16,327.44317626953125,102.09247589111328,44.63218688964844,403.97064208984375,232.12185668945312,0.7943089592136071,263
17,327.44317626953125,101.26754760742188,44.118648529052734,386.76007080078125,231.65475463867188,0.7972166401098478,274
18,327.44317626953125,101.0016098022461,43.925933837890625,370.2230529785156,231.502685546875,0.7981540092011797,279
19,327.44317626953125,104.63243103027344,43.82024002075195,392.5014953613281,232.9483184814453,0.7853562063726012,286
20,327.44317626953125,104.00529479980469,43.736568450927734,409.24285888671875,231.73580932617188,0.7875667161499051,295
